Episode=1, Total reward=23.29, Steps=41, Training iteration=0
Episode=2, Total reward=58.22, Steps=127, Training iteration=0
Episode=3, Total reward=16.4, Steps=158, Training iteration=0
Episode=4, Total reward=33.02, Steps=205, Training iteration=0
Episode=5, Total reward=13.8, Steps=235, Training iteration=0
Episode=6, Total reward=12.14, Steps=262, Training iteration=0
Episode=7, Total reward=25.65, Steps=304, Training iteration=0
Episode=8, Total reward=32.81, Steps=359, Training iteration=0
Episode=9, Total reward=20.35, Steps=394, Training iteration=0
Episode=10, Total reward=14.69, Steps=426, Training iteration=0
Episode=11, Total reward=33.12, Steps=480, Training iteration=0
Episode=12, Total reward=14.18, Steps=507, Training iteration=0
Episode=13, Total reward=43.1, Steps=563, Training iteration=0
Episode=14, Total reward=23.66, Steps=603, Training iteration=0
Episode=15, Total reward=23.62, Steps=641, Training iteration=0
Episode=16, Total reward=13.43, Steps=671, Training iteration=0
Episode=17, Total reward=31.01, Steps=724, Training iteration=0
Episode=18, Total reward=31.82, Steps=771, Training iteration=0
Episode=19, Total reward=13.14, Steps=801, Training iteration=0
Episode=20, Total reward=32.51, Steps=855, Training iteration=0
Episode=21, Total reward=33.67, Steps=913, Training iteration=0
Episode=22, Total reward=36.81, Steps=1002, Training iteration=0
Episode=23, Total reward=38.84, Steps=1059, Training iteration=0
Episode=24, Total reward=37.83, Steps=1115, Training iteration=0
Episode=25, Total reward=15.47, Steps=1144, Training iteration=0
Episode=26, Total reward=12.27, Steps=1168, Training iteration=0
Episode=27, Total reward=20.83, Steps=1204, Training iteration=0
Episode=28, Total reward=15.88, Steps=1240, Training iteration=0
Episode=29, Total reward=27.47, Steps=1281, Training iteration=0
Episode=30, Total reward=21.58, Steps=1314, Training iteration=0
Episode=31, Total reward=72.57, Steps=1415, Training iteration=0
Episode=32, Total reward=19.13, Steps=1448, Training iteration=0
Episode=33, Total reward=45.65, Steps=1505, Training iteration=0
Episode=34, Total reward=15.6, Steps=1534, Training iteration=0
Episode=35, Total reward=12.36, Steps=1561, Training iteration=0
Episode=36, Total reward=64.31, Steps=1644, Training iteration=0
Episode=37, Total reward=49.56, Steps=1716, Training iteration=0
Episode=38, Total reward=23.08, Steps=1751, Training iteration=0
Episode=39, Total reward=14.63, Steps=1780, Training iteration=0
Episode=40, Total reward=43.26, Steps=1841, Training iteration=0
Episode=41, Total reward=77.08, Steps=1960, Training iteration=0
Episode=42, Total reward=70.34, Steps=2045, Training iteration=0
Episode=43, Total reward=59.91, Steps=2120, Training iteration=0
Episode=44, Total reward=19.01, Steps=2154, Training iteration=0
Episode=45, Total reward=20.32, Steps=2191, Training iteration=0
Episode=46, Total reward=17.3, Steps=2225, Training iteration=0
Episode=47, Total reward=19.96, Steps=2259, Training iteration=0
Episode=48, Total reward=84.3, Steps=2365, Training iteration=0
Episode=49, Total reward=31.17, Steps=2414, Training iteration=0
Episode=50, Total reward=56.09, Steps=2530, Training iteration=0
Episode=51, Total reward=35.34, Steps=2579, Training iteration=0
Episode=52, Total reward=39.84, Steps=2657, Training iteration=0
Episode=53, Total reward=44.3, Steps=2715, Training iteration=0
Episode=54, Total reward=24.46, Steps=2753, Training iteration=0
Episode=55, Total reward=19.08, Steps=2786, Training iteration=0
Episode=56, Total reward=81.19, Steps=2890, Training iteration=0
